name,activityType,startTimeLocal,locationName,duration,distance,elevationGain,elevationLoss,avgHr,maxHr,avgDoubleCadence,maxDoubleCadence,avgStrideLength,calories,bmrCalories,startLatitude,startLongitude
Bilbao - Carrera mientras está cansado,running,1720641608000.0,Bilbao,2489748.046875,646708.0078125,1100.0,1800.0,165.0,187.0,163.453125,210.0,95.29133912354199,1864.5588999999998,205.31097999999997,43.265212839469314,-2.930094162002206
Bilbao - Trote suave,running,1720473869000.0,Bilbao,2259159.912109375,514537.98828125,2000.0,2500.0,155.0,173.0,157.671875,231.0,86.58991857802127,1541.92736,184.36087999999998,43.26556831598282,-2.9295067582279444
Bilbao - Carrera,running,1720286418000.0,Bilbao,5924152.83203125,1329948.046875,4900.0,4500.0,160.0,180.0,167.984375,181.0,80.05119426885801,3984.70902,486.04231999999996,43.26524251140654,-2.930507306009531
Bilbao - Trote suave,running,1720215397000.0,Bilbao,3134389.892578125,689239.990234375,1400.0,1400.0,159.0,173.0,161.296875,172.0,81.87224453051222,2048.9197799999997,310.06147999999996,43.26625345274806,-2.9284917935729027
Bilbao Carrera,running,1720041749000.0,Bilbao,120260.00213623047,40276.0009765625,100.0,0.0,165.0,183.0,166.109375,179.0,120.97127046129168,96.37046,8.38004,43.26798548921943,-2.9303769674152136
Bilbao - Carrera de referencia,running,1720040599000.0,Bilbao,544903.9916992188,146590.00244140625,0.0,100.0,172.0,192.0,164.5,179.0,97.99314470859764,431.57205999999996,113.13054,43.26642737723887,-2.92894558981061
Bilbao Carrera,running,1719772109000.0,Bilbao,4502741.2109375,1015736.03515625,2900.0,2700.0,165.0,181.0,165.796875,181.0,81.60482913310885,3054.52458,368.72175999999996,43.266988545656204,-2.9275491647422314
Bilbao Carrera,running,1719437238000.0,Bilbao,3229132.080078125,726968.994140625,1800.0,1400.0,157.0,184.0,174.53125,192.0,77.39570577914485,2149.48026,263.97126,43.266149098053575,-2.92844720184803
Santurce Carrera,running,1719348108000.0,Santurce,1286072.021484375,299930.0048828125,400.0,600.0,165.0,176.0,171.8125,184.0,81.44088145805756,896.66428,104.75049999999999,43.32852588035166,-3.0270373262465
Bilbao Carrera,running,1719082820000.0,Bilbao,2427354.00390625,602927.978515625,800.0,1200.0,158.0,185.0,171.078125,185.0,87.15082294125187,1701.1481199999998,196.93094,43.26564987190068,-2.9283649753779173
Almería - Recuperación,running,1718893674000.0,Almería,1691392.9443359375,352387.98828125,3700.0,3800.0,142.0,149.0,165.65625,174.0,75.4683945453318,1013.98484,138.27066,36.81451013311744,-2.432000320404768
Entrenamiento en cinta,treadmill_running,1718825342000.0,,1064352.05078125,310828.0029296875,,,155.0,183.0,160.828125,218.0,108.52283791114267,766.77366,87.99041999999999,,
Entrenamiento en cinta,treadmill_running,1718729996000.0,,1561021.97265625,373000.0,,,142.0,182.0,141.546875,180.0,99.46266516174182,955.3245599999999,125.7006,,
Santurce Carrera,running,1718552434000.0,Santurce,1201442.9931640625,282616.9921875,400.0,800.0,160.0,187.0,160.5,180.0,87.94187807479223,800.29382,96.37046,43.329983074218035,-3.031984828412533
Entrenamiento en cinta,treadmill_running,1717357146000.0,,812697.021484375,113985.99853515625,,,136.0,170.0,105.734375,180.0,79.58988695913473,448.33214,67.04032,,
